Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Hovis Best Of Both Medium 750G,(12),3.4,0.99,Medium Sliced White Bread with added Wheatgerm & Calcium,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Water, Wheatgerm (5%), Calcium Sulphate, Yeast, Salt, Wheat Protein, Soya Flour, Vegetable Fibre (Inulin), Emulsifiers: E472e, E471, E322 (Rapeseed), Preservative: E282, Flour Treatment Agent: Ascorbic Acid",Energy 973kJ ,Energy973kJ365kJ4%-230kcal86kcalFat2.2g0.8g1%of which saturates0.4g0.2g1%Carbohydrate40.4g15.2g6%of which sugars4.0g1.5g2%Fibre3.9g1.5gProtein10.2g3.8g8%Salt0.86g0.32g5%Calcium478mg (60% RI)179mg (22%,https://www.tesco.com/groceries/en-GB/products/279505857
6 Pack Soft White Rolls,(39),2.1,0.69,Soft White Rolls 6 PK,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Yeast, Salt, Dextrose, Palm Oil, Flour Treatment Agent (Ascorbic Acid).",Energy 1212kJ / 286kcal ,Energy1212kJ / 286kcal606kJ / 143kcalFat1.3g0.7gSaturates0.4g0.2gCarbohydrate56.5g28.3gSugars2.8g1.4gFibre2.1g1.1,https://www.tesco.com/groceries/en-GB/products/255810019
Tesco Finest Super Seeded Farmhouse Loaf 800G,(63),3.1,1.10,Sliced white bread with mixed seeds and grains.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Mixed Seeds (16%) [Sunflower Seed, Brown Linseed, Golden Linseed, Millet, Poppy Seed, Pumpkin Seed), Malted Wheat Flakes, Yeast, Salt, Fermented Wheat Flour, Wheat Gluten, Emulsifiers (Mono- and Di-Glycerides of Fatty Acids, Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids), Spirit Vinegar, Rapeseed Oil, Flour Treatment Agent (Ascorbic Acid).",Energy 1237kJ / 294kcal ,Energy1237kJ / 294kcal544kJ / 130kcalFat9.6g4.2gSaturates1.2g0.5gCarbohydrate37.9g16.7gSugars4.9g2.2gFibre5.8g2.5,https://www.tesco.com/groceries/en-GB/products/300134417
Tesco Large Seeded Burger Buns 4 Pack,(20),3.8,0.70,4 Seeded burger buns.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Sesame Seed (3%), Palm Oil, Dextrose, Yeast, Salt, Soya Flour, Preservative (Calcium Propionate), Emulsifier (Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids), Flour Treatment Agents (Ascorbic Acid, L-Cysteine).",Energy 1126kJ / 267kcal ,Energy1126kJ / 267kcal1014kJ / 240kcalFat4.4g4.0gSaturates1.6g1.4gCarbohydrate45.8g41.2gSugars3.0g2.7gFibre4.2g3.,https://www.tesco.com/groceries/en-GB/products/251933448
Warburtons Medium Sliced White Bread 800G,(17),3.2,1.05,Medium Sliced White Bread,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Salt, Vegetable Oil (Rapeseed, Sustainable Palm), Soya Flour, Preservative: Calcium Propionate, Emulsifiers: E481, E472e, Flour Treatment Agent: Ascorbic Acid (Vitamin C)",Energy 1025kJ ,Energy1025kJ413kJ8400kJ-244kcal98kcal2000kcalFat2.0g0.8g70g of which saturates0.5g0.2g20gCarbohydrate46.4g18.7,https://www.tesco.com/groceries/en-GB/products/254942325
Tesco Original Bagels 5 Pack,(11),3.9,0.79,5 Plain bagels.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Rye Flour, Sugar, Maize, Rapeseed Oil, Yeast, Wheat Gluten, Salt, Preservative (Calcium Propionate), Malted Barley Flour, Flour Treatment Agent (Ascorbic Acid).",Energy 1121kJ / 265kcal ,Energy1121kJ / 265kcal953kJ / 225kcalFat1.5g1.3gSaturates0.2g0.2gCarbohydrate52.2g44.3gSugars5.3g4.5gFibre2.7g2.,https://www.tesco.com/groceries/en-GB/products/257519598
Warburtons Fruit Teacakes 4 Pack,(32),3,0.80,4 Fruited Teacakes,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Dried Fruit Blend in varying proportions (13%) (Currants, Sultanas, Raisins), Sugar, Yeast, Vegetable Oil (Rapeseed, Sustainable Palm, Sunflower), Salt, Gelling Agent: E466, Emulsifiers: E471, E481, E472e, Soya Flour, Preservative: Calcium Propionate, Flour Treatment Agents: Ascorbic Acid (Vitamin C), E920 (Vegetarian)",Energy 1109kJ ,Energy 1109kJ693kJ8400kJ-262kcal164kcal2000kcalFat 3.0g1.9g70g of which saturates 0.5g0.3g20gCarboh,https://www.tesco.com/groceries/en-GB/products/259805066
Tesco Brioche Chocolate Chip Rolls 8Pk,(10),3.8,1.00,Brioche rolls with dark chocolate chips.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Dark Chocolate Chips (13%) [Sugar, Cocoa Mass, Cocoa Butter, Soya Lecithins], Sugar, Water, Pasteurised Egg, Rapeseed Oil, Emulsifiers (Mono- and Di-Glycerides of Fatty Acids, Sodium Stearoyl-2-Lactylate), Dried Whole Milk, Yeast, Wheat Gluten, Salt, Thickener (Carboxymethylcellulose), Milk Proteins, Flavouring, Antioxidant (Ascorbic Acid).",Energy 1615kJ / 384kcal ,Energy1615kJ / 384kcal517kJ / 123kcalFat13.8g4.4gSaturates4.8g1.5gCarbohydrate55.4g17.7gSugars18.3g5.9gFibre2.7g0.9,https://www.tesco.com/groceries/en-GB/products/251931698
Warburtons Toastie Sliced White Bread 800G,(48),4.2,1.05,Thick Sliced White Bread,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Salt, Vegetable Oil (Rapeseed, Sustainable Palm), Soya Flour, Preservative: Calcium Propionate, Emulsifiers: E481, E472e, Flour Treatment Agent: Ascorbic Acid (Vitamin C)",Energy 1025kJ ,Energy1025kJ486kJ8400kJ-244kcal116kcal2000kcalFat2.0g0.9g70g of which saturates0.5g0.2g20gCarbohydrate46.4g22.0,https://www.tesco.com/groceries/en-GB/products/254942348
Tesco 6 Wholemeal Pitta Bread,(20),3.2,0.45,6 Wholemeal pitta breads.,"INGREDIENTS: Wholemeal Wheat Flour, Water, Yeast, Salt, Preservative (Calcium Propionate).",Energy 1055kJ / 250kcal ,Energy1055kJ / 250kcal612kJ / 145kcalFat1.2g0.7gSaturates0.2g0.1gCarbohydrate46.2g26.8gSugars3.1g1.8gFibre7.8g4.,https://www.tesco.com/groceries/en-GB/products/254945610
Tesco 6 White Pitta Bread,(16),3,0.45,6 White pitta breads.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Yeast, Salt, Preservative (Calcium Propionate).",Energy 1165kJ / 275kcal ,Energy1165kJ / 275kcal676kJ / 159kcalFat1.0g0.6gSaturates0.2g0.1gCarbohydrate54.9g31.8gSugars1.8g1.1gFibre4.5g2.,https://www.tesco.com/groceries/en-GB/products/254945564
Tesco Soft White Hot Dog Rolls 6 Pack,(8),3.2,0.75,6 White hot dog rolls.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Palm Oil, Salt, Dextrose, Yeast, Soya Flour, Emulsifier (Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids), Preservative (Calcium Propionate), Flour Treatment Agent (Ascorbic Acid).",Energy 1071kJ / 254kcal ,Energy1071kJ / 254kcal750kJ / 177kcalFat3.3g2.3gSaturates1.3g0.9gCarbohydrate45.7g32.0gSugars5.2g3.6gFi,https://www.tesco.com/groceries/en-GB/products/251818288
Tesco 9 Crumpets,(15),3.4,0.37,9 Crumpets.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Spirit Vinegar, Sugar, Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Yeast, Salt, Preservative (Potassium Sorbate).",Energy 765kJ / 181kcal ,Energy765kJ / 181kcal421kJ / 99kcalFat0.8g0.4gSaturates0.2g0.1gCarbohydrate36.2g19.9gSugars3.1g1.7gFibre2.3g1.3,https://www.tesco.com/groceries/en-GB/products/304382358
Tesco 6 Crumpets,(22),4.1,0.25,6 Crumpets.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Spirit Vinegar, Sugar, Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Yeast, Salt, Preservative (Potassium Sorbate).",Energy 765kJ / 181kcal ,Energy765kJ / 181kcal421kJ / 99kcalFat0.8g0.4gSaturates0.2g0.1gCarbohydrate36.2g19.9gSugars3.1g1.7gFibre2.3g1.3,https://www.tesco.com/groceries/en-GB/products/304377935
Tesco Multiseed Batch 800G,(44),4.4,0.85,Medium sliced white loaf with mixed seeds.,"INGREDIENTS LIST:Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Mixed Seeds (13%) [Sunflower Seeds, Millet, Golden Linseed, Brown Linseed, Poppy Seeds, Pumpkin Seed], Yeast, Barley Malt Flour, Salt, Wheat Gluten, Spirit Vinegar, Preservative (Calcium Propionate), Emulsifier (Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids), Rapeseed Oil, Flour Treatment Agent (Ascorbic Acid).",Energy 1123kJ / 267kcal ,Energy1123kJ / 267kcal562kJ / 133kcalFat6.1g3.1gSaturates0.8g0.4gCarbohydrate40.3g20.2gSugars3.9g2.0gFibre5.5g2.8,https://www.tesco.com/groceries/en-GB/products/300134671
Tesco White Bread 800G,(26),3.3,0.59,Medium sliced white bread.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Yeast, Salt, Soya Flour, Emulsifier (Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids), Preservative (Calcium Propionate), Spirit Vinegar, Rapeseed Oil, Flour Treatment Agent (Ascorbic Acid).",Energy 1009kJ / 239kcal ,Energy1009kJ / 239kcal404kJ / 95kcalFat2.0g0.8gSaturates0.5g0.2gCarbohydrate45.0g18.0gSugars2.9g1.1gFibre3.6g1.,https://www.tesco.com/groceries/en-GB/products/299389116
Tesco Wholemeal Medium Bread 800G,(31),3.3,0.59,Medium sliced wholemeal bread.,"INGREDIENTS: Wholemeal Wheat Flour, Water, Yeast, Wheat Gluten, Salt, Sugar, Emulsifiers (Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids, Mono-and Diglycerides of Fatty Acids), Spirit Vinegar, Caramelised Sugar, Preservative (Calcium Propionate), Rapeseed Oil, Flour Treatment Agent (Ascorbic Acid).",Energy 944kJ / 224kcal ,Energy944kJ / 224kcal377kJ / 89kcalFat2.3g0.9gSaturates0.6g0.2gCarbohydrate36.8g14.7gSugars3.4g1.4gFibre6.8g2.7,https://www.tesco.com/groceries/en-GB/products/299425783
Tesco Toastie White Bread Thick 800G,(34),4,0.59,Thick sliced white bread.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Yeast, Salt, Soya Flour, Emulsifier (Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids), Preservative (Calcium Propionate), Spirit Vinegar, Rapeseed Oil, Flour Treatment Agent (Ascorbic Acid).",Energy 1009kJ / 239kcal ,Energy1009kJ / 239kcal505kJ / 119kcalFat2.0g1.0gSaturates0.5g0.3gCarbohydrate45.0g22.5gSugars2.9g1.4gFibre3.6g1.,https://www.tesco.com/groceries/en-GB/products/299425748
Mcvities Toasting Waffles 8 Pack,(12),2.8,1.40,Toasting waffles,"Wheat Flour, Sugar, Water, Whole Egg, Vegetable Oils (Palm, Rapeseed), Glucose-Fructose Syrup, Humectant (Sorbitol), Salt, Emulsifiers (E471, E475, Soya Lecithin), Raising Agents (Disodium Diphosphate, Sodium Bicarbonate, Ammonium Bicarbonate), Natural Flavouring",Energy Per 100g ,Energy (kJ)1928482 (kcal)461115Fat 25.5g6.4gof which Saturates 10.2g2.6gCarbohydrate 52.6g13.2gof which ,https://www.tesco.com/groceries/en-GB/products/250810338
Warburtons Thin Bagels Plain 6 Pack,(20),4.8,1.50,6 Sliced Thin White Bagels,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Malted Wheat Flour, Wheat Gluten, Sugar, Dextrose, Maize, Yeast, Salt, Rice Flour, Soya Flour, Preservative: Calcium Propionate, Gelling Agent: E466, Acidity Regulator: Citric Acid, Emulsifiers: E472e, E481, Flour Treatment Agents: Ascorbic Acid (Vitamin C), E920 (Vegetarian)",Energy 1079kJ ,Energy 1079kJ540kJ8400kJ-257kcal130kcal2000kcalFat 1.3g0.7g70g of which saturates 0.4g0.2g20gCarboh,https://www.tesco.com/groceries/en-GB/products/287853081
Tesco Finest 4 All Butter & Sultana Scones,(21),3.1,1.50,"4 All butter scones with sultanas, Cornish buttermilk and Cornish clotted cream.","INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Sultanas (21%), Cornish Buttermilk (Milk) (15%), Butter (Milk) (11%), Sugar, Pasteurised Egg, Cornish Clotted Cream (Milk) (3%), Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Salt.",Energy 1057kJ / 252kcal ,Energy1057kJ / 252kcal1510kJ / 359kcalFat8.9g12.7gSaturates5.6g8.0gCarbohydrate37.4g53.4gSugars14.6g20.9gFibre1.6g2.,https://www.tesco.com/groceries/en-GB/products/253846591
Paul Hollywood 4 Ready To Bake White Crusty Rolls,(25),3.3,Nan,4 part baked flour dusted white rolls with added rye flour,"Wheat Flour, Water, Rye Flour, Yeast, Wheat Gluten, Salt, Malted Wheat Flour, Flour Treatment Agent (Ascorbic Acid)",Nan,Energy 1131kJ-267kcalF,https://www.tesco.com/groceries/en-GB/products/305247345
Warburtons Sliced Sandwich Rolls 12 Pack,(35),4.2,1.45,12 Sliced White Rolls,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Vegetable Oil (Rapeseed, Sustainable Palm), Yeast, Salt, Sugar, Emulsifiers: E472e, E471, E481, Soya Flour, Gelling Agent: E466, Preservative: Calcium Propionate, Flour Treatment Agents: Ascorbic Acid (Vitamin C), E920 (Vegetarian)",Energy 1113kJ ,Energy 1113kJ612kJ8400kJ-265kcal146kcal2000kcalFat 3.9g2.1g70g of which saturates 0.8g0.4g20gCarbo,https://www.tesco.com/groceries/en-GB/products/250915629
Hovis Granary Thick Bread 800G,(14),4.9,1.45,Original Thick Sliced Brown Bread with added Malted Wheat Flakes,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Water, Original Granary Blend (Granary Malted Wheat Flakes (11%), Malted Barley Flour, Toasted Wheat, Toasted Rye), Wheat Protein, Yeast, Salt, Vinegar, Soya Flour, Granulated Sugar, Barley Flour, Caramelised Sugar, Emulsifier: E472e, Barley Fibre, Flour Treatment Agent: Ascorbic Acid",Energy 1081kJ ,Energy 1081kJ476kJ-256kcal112kcal6%Fat 2.4g1.0g1% of which saturates 0.7g0.3g2%Carbohydrate 46.4g20.4g8% of which sugars 3.4g1.5g2%Fibre 3.7g1.6gProtein 10.3g4.5g9%Salt 1.03g0.45g8%Vitamin B10.23mg (21% RI)0.10mg (9%,https://www.tesco.com/groceries/en-GB/products/250871708
Warburtons Seeded Batch Bread 800G,(24),3,1.40,"Thick Sliced White Bread with Sesame Seed, Sunflower Seed, Brown Linseed, Millet Seed and Poppy Seed (Seed Mix 12%)","Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Seed Mix (12%) (Sesame Seed, Sunflower Seed, Brown Linseed, Millet Seed, Poppy Seed), Yeast, Malted Barley Flour, Vegetable Oil (Rapeseed, Sustainable Palm), Wheat Gluten, Sugar, Salt, Soya Flour, Emulsifiers: E471, E481, E472e, Preservative: Calcium Propionate, Flour Treatment Agent: Ascorbic Acid (Vitamin C)",Energy 1231kJ ,Energy 1231kJ564kJ8400kJ-293kcal134kcal2000kcalFat 8.9g4.1g70g of which saturates 1.3g0.6g20g mono-unsaturates 2.9g1.3g polyunsaturates 4.2g1.9gCarbohydrate 39.7g18.2g260g,https://www.tesco.com/groceries/en-GB/products/257269645
Tesco 8 Wholemeal Tortilla Wraps,(12),2.7,0.95,8 Wholemeal wheat tortilla wraps.,"INGREDIENTS: Wholemeal Wheat Flour, Water, Palm Oil, Humectant (Glycerol), Sugar, Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Acidity Regulator (Citric Acid), Emulsifier (Mono- and Di-Glycerides of Fatty Acids), Preservatives (Potassium Sorbate, Calcium Propionate), Salt, Flour Treatment Agent (L-Cysteine Hydrochloride).",Energy 1178kJ / 279kcal ,Energy1178kJ / 279kcal718kJ / 170kcalFat5.2g3.2gSaturates2.5g1.5gCarbohydrate45.7g27.9gSugars3.3g2.0gFibre6.9g4.2,https://www.tesco.com/groceries/en-GB/products/303350398
Hovis Fabulous Fibre 600G,(3),4.3,1.25,"Slice bread with wholemeal flour, multigrains, natural prebiotic fibre and topped with oats","Water, Wheat Flour (with added Calcium, Iron, Niacin, Thiamin) (25%), Wholemeal Flour (Wheat) (25%), Rolled Oats (5%), Malted Wheat Flakes, Spelt Wheat Flakes, Vegetable Fibre (Inulin) (4%), Wheat Protein, Yeast, Salt, Fermented Wheat Flour, Soya Flour, Vinegar, Dried Wheatgerm Sourdough (Rye, Barley), Emulsifiers: E471, E472e, E322 (Rapeseed), Barley Flour, Vegetable Fat (Palm, Rapeseed), Barley Fibre, Flour Treatment Agent: Ascorbic Acid",Energy 1040kJ/247kcal ,Energy 1040kJ/247kcal447kJ/106kcal5%Fat 2.9g1.2g2% of which saturates 0.4g0.2g1%Carbohydrate 39.2g16.8g6% of which sugars 3.1g1.3g1%Fibre 9.0g3.9gProtein 11.5g4.9g10%Salt 0.78g0.3,https://www.tesco.com/groceries/en-GB/products/305969090
